time,u1,u2
501.0290000000038,176.88,177.41
501.39800000000383,177.14,177.14
501.77000000000385,177.14,177.41
502.13800000000384,176.88,177.94
502.50600000000384,176.88,177.67
502.87500000000387,177.14,177.67
503.25000000000387,176.88,177.94
503.6190000000039,177.67,177.67
503.9900000000039,176.88,177.67
504.3570000000039,176.88,177.41
504.7270000000039,176.88,177.94
505.0990000000039,176.62,177.67
505.4690000000039,176.09,177.67
505.8400000000039,176.35,177.94
506.2100000000039,176.35,177.94
506.5720000000039,176.88,178.46
506.9450000000039,177.14,177.94
507.3150000000039,176.62,178.2
507.68200000000394,177.14,178.2
508.0530000000039,176.88,178.2
508.42000000000394,176.09,178.2
508.7910000000039,176.88,178.2
509.16000000000395,176.88,178.46
509.52800000000394,176.88,178.46
509.89700000000397,176.62,178.46
510.26800000000395,176.62,178.46
510.63600000000395,176.62,178.2
511.00900000000394,176.88,178.46
511.37400000000395,176.62,178.2
511.7450000000039,176.88,178.73
512.1150000000039,176.88,178.73
512.4820000000038,176.62,178.73
512.8520000000038,176.62,178.2
513.2230000000038,176.62,178.73
513.5930000000038,176.62,178.73
513.9610000000039,176.62,178.2
514.3260000000039,176.62,178.46
514.6960000000039,176.88,178.99
515.0650000000039,176.62,178.73
515.4320000000039,176.62,178.99
515.7990000000038,176.88,178.99
516.1700000000038,176.35,178.46
516.5380000000039,176.62,178.73
516.9110000000039,176.88,178.99
517.2820000000039,176.62,178.99
517.6510000000039,176.62,178.73
518.0160000000039,176.88,178.99
518.384000000004,176.35,178.73
518.753000000004,176.88,178.73
519.122000000004,176.62,178.46
519.4910000000041,176.88,178.99
519.8610000000041,176.62,178.99
520.2290000000041,176.62,178.99
520.6020000000042,176.62,178.46
520.9730000000042,176.62,178.73
521.3460000000042,176.88,178.99
521.7190000000043,176.88,178.73
522.0800000000042,176.62,179.26
522.4470000000042,176.62,178.99
522.8200000000043,177.14,178.99
523.1910000000042,176.88,179.26
523.5570000000042,176.88,178.46
523.9280000000042,176.35,178.73
524.2970000000042,176.62,179.26
524.6660000000043,177.14,179.52
525.0380000000042,176.88,178.99
525.4040000000042,176.09,178.99
525.7730000000042,176.88,178.99
526.1460000000043,176.62,178.99
526.5170000000043,176.62,178.73
526.8860000000043,176.88,179.26
527.2550000000043,176.88,179.26
527.6230000000044,176.88,178.99
527.9950000000043,177.14,179.52
528.3580000000044,176.62,179.26
528.7250000000043,176.35,178.99
529.0890000000044,176.62,178.99
529.4620000000044,176.88,178.46
529.8330000000044,176.88,178.73
530.2030000000044,176.35,179.52
530.5770000000044,176.88,179.52
530.9520000000044,176.62,179.26
531.3190000000044,176.88,178.99
531.6880000000044,176.62,179.26
532.0610000000045,176.62,178.99
532.4330000000044,177.14,178.99
532.7940000000044,176.35,179.52
533.1640000000044,176.35,179.26
533.5330000000044,176.62,179.52
533.9080000000044,176.88,178.99
534.2790000000044,176.62,179.26
534.6490000000044,176.62,178.99
535.0170000000045,176.62,179.26
